feature_set,training_set,n_training_set,evaluation_set,n_evaluation_set,estimate_LogLoss,ci_lower_LogLoss,ci_upper_LogLoss,estimate_MSE,ci_lower_MSE,ci_upper_MSE,estimate_R2_Score,ci_lower_R2_Score,ci_upper_R2_Score,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score
key_records,train_sample_n_1000000,1000000,evaluation_test_50_percent_split,206549,0.292080618658995,0.289546648273423,0.294621860510137,0.0892228912411265,0.0883953356810249,0.090129007714655,0.2776974746826,0.272462929310159,0.282161432656916,0.543107463034113,0.53863546131117,0.547517350456014,0.260005399538778
key_records,train_sample_n_5000,5000,evaluation_test_50_percent_split,206549,0.310682702918466,0.307976564334832,0.313394805281182,0.09424389250533,0.0933933448653137,0.095184141408301,0.237050037211034,0.231924829206184,0.241809940498106,0.519466152296935,0.514644961586454,0.523996745242748,0.2410941929882
key_records,train_sample_n_50000,50000,evaluation_test_50_percent_split,206549,0.297891639143148,0.295325317806167,0.300554494908744,0.0907663844838464,0.0899266139770862,0.0916722672210548,0.265202149194728,0.260040168320108,0.269776519013311,0.53577410863843,0.531343399138129,0.540117738163731,0.270562309459725
key_records,train_sample_n_3696041,3696041,evaluation_test_50_percent_split,206549,0.290920543669843,0.288388609246477,0.293425697429794,0.088892487840569,0.0880689441308539,0.0897692357366613,0.280372250261786,0.275284854714698,0.284884705962802,0.54460872914753,0.54017583432565,0.549061503332073,0.270010712138823
persoontab,train_sample_n_100,100,evaluation_test_50_percent_split,206549,0.460659411624333,0.457405896877223,0.464029703555379,0.141818847812745,0.140657912605945,0.143021041179651,-0.148092271925088,-0.152626807641379,-0.14365450597702,0.267810648819613,0.264968430753312,0.270657478715487,0.0686039651509603
persoontab,train_sample_n_1000,1000,evaluation_test_50_percent_split,206549,0.374482762639965,0.371739724868304,0.377361484310815,0.115438503624023,0.114502634966141,0.116409187195644,0.0654693932619418,0.0619146998269286,0.0688422988953058,0.375445746306673,0.371645252629209,0.379078753645336,0.153484993231825
persoontab,train_sample_n_10000,10000,evaluation_test_50_percent_split,206549,0.357974326501182,0.355453216611288,0.360716497274579,0.111317840126076,0.110390064322432,0.112283802520293,0.0988281603804273,0.0958655106996051,0.101686837191142,0.397708203004756,0.393767493217936,0.401374243145018,0.181290053926297
persoontab,train_sample_n_100000,100000,evaluation_test_50_percent_split,206549,0.350969698250457,0.348552065570235,0.353488994013258,0.109452258504777,0.108585740933402,0.110359429493345,0.11393094731666,0.110926794203657,0.116758519436674,0.408780528674961,0.404560687683997,0.412768696285417,0.210811917495002
persoontab,train_sample_n_1000000,1000000,evaluation_test_50_percent_split,206549,0.348705330432545,0.34630597599991,0.351223834549406,0.108836205646543,0.107946644175258,0.109757654142551,0.11891819362803,0.11605624557601,0.121558439629196,0.411693544145338,0.407619582293904,0.415739891489478,0.210143848178398
persoontab,train_sample_n_5000,5000,evaluation_test_50_percent_split,206549,0.362278295049515,0.359643657876025,0.364972081140303,0.112422951782998,0.111505191376533,0.113379566902521,0.0898817461872858,0.0867532859848049,0.0929115473745999,0.392640173354487,0.388848835350616,0.396357188047444,0.181331434782196
persoontab,train_sample_n_50000,50000,evaluation_test_50_percent_split,206549,0.352382930853771,0.349840892074946,0.354955061605012,0.109794195078911,0.108915765591612,0.110716071732202,0.111162805110558,0.108212612191188,0.11395752300926,0.405989169822076,0.401997748867319,0.409709603102219,0.200476747059657
persoontab,train_sample_n_3696041,3696041,evaluation_test_50_percent_split,206549,0.348176592457782,0.34574029024258,0.35068359916506,0.108695401295175,0.10781913572513,0.109589391064696,0.1200580730598,0.117287273470363,0.122756761576888,0.413130588830774,0.408973619158306,0.41713022971471,0.210323826870489
sex_and_birthyear,train_sample_n_100,100,evaluation_test_50_percent_split,206549,0.390412467050452,0.38808580638962,0.392830819392864,0.121661130367977,0.120805939436423,0.122555328048353,0.0150942154489033,0.0116478777258343,0.0186560533846813,0.351287756538306,0.348143899198126,0.354575586620388,0.133179631851742
sex_and_birthyear,train_sample_n_1000,1000,evaluation_test_50_percent_split,206549,0.36606095862188,0.363608874981412,0.36872872842983,0.11318100436152,0.112365345941032,0.114059929733433,0.0837449433536911,0.0802289024932742,0.0871976108407589,0.39709685663174,0.392944726850613,0.400978750807297,0.273341839908707
sex_and_birthyear,train_sample_n_10000,10000,evaluation_test_50_percent_split,206549,0.357276465505606,0.354770720942897,0.359964148852941,0.110871473752039,0.109983019153474,0.111802170530011,0.10244171240389,0.0997995058227816,0.105181316385146,0.400031486146096,0.395898007896968,0.403819539327661,0.180437091185787
sex_and_birthyear,train_sample_n_100000,100000,evaluation_test_50_percent_split,206549,0.355812929407087,0.353341152535333,0.358430735969219,0.110592979691128,0.109698625860614,0.111512262660576,0.104696256733079,0.102110440653167,0.107295731869554,0.400031486146096,0.395898007896968,0.403819539327661,0.200597516380357
sex_and_birthyear,train_sample_n_1000000,1000000,evaluation_test_50_percent_split,206549,0.355419333226655,0.352910544913973,0.358038381121123,0.110495001753708,0.10959025009804,0.111419327693166,0.105489435598274,0.102946708624577,0.108022509580563,0.400031486146096,0.395898007896968,0.403819539327661,0.192026273451037
sex_and_birthyear,train_sample_n_5000,5000,evaluation_test_50_percent_split,206549,0.359283399311561,0.35679564812006,0.361959459823885,0.111191858321515,0.11032448083137,0.112119939713307,0.0998480441155575,0.0970209499101515,0.10264928437873,0.399795309839889,0.395734868556535,0.403552072200558,0.190753380413318
sex_and_birthyear,train_sample_n_50000,50000,evaluation_test_50_percent_split,206549,0.35597448627655,0.353495657939842,0.358618432039054,0.110621359469805,0.109720982744253,0.111541195510673,0.104466508677164,0.101828579516707,0.107088971669904,0.400057121873598,0.395934224159624,0.40383649207005,0.210110862721473
