feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_R2_Score,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_R2_Score,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_R2_Score,ci_upper_AUC,evaluation_set,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score,selection_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.426418343802788,0.129630632780746,-0.0478168009528486,0.648618182262394,0.424452767196902,0.128904276633611,-0.0506830617217513,0.646623784587199,0.428363352961122,0.130287139180637,-0.0439807973456712,0.65108142115526,evaluation_set,0.313409802495882,0.309900537634968,0.31589845198516,0.292410154401843,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.368684698265045,0.114277001581471,0.0762880682522886,0.741129340087004,0.36687042878589,0.113617741853446,0.0740982755809385,0.739021077943043,0.370610813526182,0.114897093484717,0.0787561692403618,0.743366346107995,evaluation_set,0.377260453758189,0.374661831192792,0.379460947277531,0.205035654503381,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.3634590237963,0.112263200650886,0.0925658137479122,0.751078993590921,0.361571841774973,0.111635694729817,0.0904821534727976,0.749153492875987,0.365411034179057,0.112864527479946,0.094810634385555,0.753047359036873,evaluation_set,0.391494764826379,0.388840203113911,0.394064226349577,0.210583903842964,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_100000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.357058431204983,0.11081014193564,0.104311026294863,0.760416844279297,0.355237179413254,0.110174913365137,0.102394397574852,0.758658512757343,0.358982636295754,0.111435787025986,0.106055802112237,0.762237434306751,evaluation_set,0.400845492176262,0.398239430392912,0.403313969027966,0.20018823438811,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.355680292861184,0.110564934567311,0.10629306090151,0.762657640653075,0.353865597453834,0.10993221959968,0.104460805087586,0.760985110854641,0.357352039639526,0.111172282691972,0.108045629211002,0.764477197292655,evaluation_set,0.401501773339071,0.398682950563692,0.404106849108445,0.200850203567765,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_2000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.355518740848514,0.110540822095592,0.106487964316217,0.762910115106437,0.353709421471624,0.10990043232778,0.104638060388833,0.76125801552878,0.357194984805982,0.111144665062613,0.1082063842274,0.764734635991512,evaluation_set,0.401576527260784,0.398880588129903,0.404115605742203,0.200671327726383,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_3000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.355472853298666,0.110532044328541,0.106558915846682,0.763029590939178,0.353696763498251,0.109893089486386,0.104713645030267,0.761385303486385,0.357140018348213,0.111131919260345,0.108286460008781,0.764841279558249,evaluation_set,0.401388450615336,0.398639256826029,0.40385732745711,0.190870630621202,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_500,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.371094580690031,0.115299094882406,0.0680263903611372,0.735003149045054,0.369017174418861,0.11458775238381,0.0658914959484702,0.733051155205017,0.372908191372949,0.115885207499199,0.0706266442921404,0.737277778668486,evaluation_set,0.378888822930413,0.37642769816502,0.381211079274145,0.189299221095017,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_5000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.364250474420916,0.112709209093252,0.0889606848578306,0.748637764034159,0.362432997124723,0.11210174783784,0.0868585852234091,0.746547008512603,0.366182769203963,0.113338931238226,0.0909547313629441,0.750653045588246,evaluation_set,0.390918221443803,0.38867349489903,0.393267612702115,0.191544226453146,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_50000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.358193973857693,0.111068043291916,0.102226384969761,0.758515056264944,0.356338996763311,0.110415432909261,0.100310072892318,0.75687252360034,0.360165849437441,0.111695539508674,0.104046932061624,0.760363599169362,evaluation_set,0.398948111714432,0.396250492781077,0.401648397982127,0.190404062263381,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,train_sample_n_500000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.355773047885811,0.110581866302991,0.106156200062878,0.762494592874242,0.353952113289933,0.109951983919079,0.104301149823889,0.760828992120849,0.35746629576832,0.111182779561554,0.107951739896162,0.764372232481362,evaluation_set,0.401495640150538,0.398888549756024,0.403938038462939,0.200390840716346,evaluation_set
ego_AS,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.35547018459637,0.11052961020719,0.106578591082329,0.763068140967783,0.353690474618154,0.109888824508237,0.104747471047,0.761437758929781,0.357145366681393,0.111127923823208,0.108325110348149,0.764892745245568,evaluation_set,0.401434575843085,0.398525638445992,0.404002570333418,0.200713146246273,evaluation_set
