feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_R2_Score,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_R2_Score,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_R2_Score,ci_upper_AUC,evaluation_set,estimate_F1_Score,ci_lower_F1_Score,ci_upper_F1_Score,threshold_F1_Score,selection_set
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=6",1000,0.263263363536984,0.0804599289025046,0.347089887125712,0,0.263771163888213,0.0805713979763536,0.344435813750238,0,0.26552829430343,0.0811737667251955,0.348836545813505,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=6",1000,0.266869915967003,0.0816283846277629,0.34274682086782,0,0.264814405265301,0.0809475940927748,0.342935861193689,0,0.265512885349371,0.0810885622160602,0.343396817894227,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=8",500,0.263662538605698,0.0805791919148296,0.346122100702073,0,0.264443667412391,0.0808155655129932,0.341843935091263,0,0.264844194884627,0.080919457433817,0.34517305013301,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=8",500,0.267128261099356,0.0817030270243745,0.342145817274587,0,0.266763357719338,0.0816106997021411,0.342382772407457,0,0.269003392163736,0.0823112923221234,0.343127057182275,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=8",1000,0.264393580764131,0.0808915845421324,0.343587120764413,0,0.2648018401434,0.0809113203676529,0.341357435049468,0,0.266410222671765,0.0815549408114838,0.346089360597855,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.5,depth=8",1000,0.267890750685008,0.0819876479143947,0.339854114631367,0,0.265614043674859,0.0812547626254091,0.340442540778064,0,0.2665444027917,0.081422569911701,0.340692251782859,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=6",500,0.268998087920998,0.0822529036158302,0.332540392260054,0,0.269916777437556,0.082504553979854,0.327792162957034,0,0.270161511138211,0.082540970657184,0.332345727498666,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=6",500,0.271938100393203,0.0830936556700029,0.330948791846491,0,0.271601344176914,0.0830017855779385,0.331199484401327,0,0.2740254325658,0.0837110586635331,0.331930399099915,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=6",1000,0.272071345985702,0.0831968753668133,0.324880322074915,0,0.272624752143652,0.0832510352774406,0.321751641226396,0,0.274627460406233,0.0839825856560595,0.327180219166117,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=6",1000,0.275317011927871,0.0841105243519212,0.322761196600076,0,0.272939820477834,0.0833304376888244,0.323593930040172,0,0.273364646748131,0.0834358908839571,0.324389634300079,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.8,depth=6",500,0.263551278174299,0.0804872938997339,0.346867827727034,0,0.264428442578837,0.0807223160362766,0.342215666777079,0,0.264496560399397,0.0807698943416131,0.346768172642605,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.8,depth=6",500,0.266919197837502,0.0816113824314971,0.342883718683437,0,0.266921014206793,0.0816512328329439,0.342800554460199,0,0.268760998926208,0.082191966424026,0.343335858738413,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.8,depth=6",1000,0.26324394258184,0.0804552345727451,0.347127980315887,0,0.263632562032436,0.0805215085478763,0.345579802702633,0,0.265201598073858,0.0810321131088259,0.349239728928155,0,evaluation_selection_50_percent_split,0.591573490390957,0.587043976623324,0.592982922170688,0.290068677008271,evaluation_selection_50_percent_split
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.3,subsample=0.8,depth=6",1000,0.266739250905624,0.0815978487889439,0.342992688493803,0,0.264285926939724,0.0807626517921674,0.343383870553866,0,0.265575667726186,0.0810901734920973,0.344437166360301,0,evaluation_test_50_percent_split,0.591240875912409,0.594421045946266,0.594555058642828,0.290068677008271,evaluation_selection_50_percent_split
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.8,depth=8",500,0.277868028932783,0.0848752122827001,0.31126108129084,0,0.278797340946173,0.0850343289226925,0.306241350716123,0,0.279024589793906,0.0851871934512171,0.311873787130742,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.8,depth=8",500,0.280238493872571,0.0854672812360951,0.31183689888796,0,0.280750650365668,0.0856109266940603,0.310928993709252,0,0.281319960638984,0.0858452733031955,0.314147613870415,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.8,depth=8",1000,0.28974759522832,0.0877881526086584,0.287623374634127,0,0.290496695254033,0.0877317543599493,0.285799959014384,0,0.29200837196562,0.0884342209682578,0.290967848863243,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.8,depth=8",1000,0.292953754993382,0.0888156972578604,0.284876214986176,0,0.290902527867218,0.0880538484084493,0.283892107801952,0,0.291589035380502,0.0884372340987464,0.285253419010679,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=8",500,0.276601771796798,0.0843938336157668,0.315167336293173,0,0.2776658355055,0.0846877589968455,0.310116098990067,0,0.277694826201289,0.0847114318937696,0.314678525980338,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=8",500,0.280323967434324,0.0855618757472644,0.311075245408255,0,0.279787581729495,0.0853390779274796,0.311509046087857,0,0.28235239971122,0.0861756526731845,0.313118036827879,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=8",1000,0.287160052099385,0.0871011488033026,0.293198220873966,0,0.287286897146244,0.0869433768521538,0.288837190389266,0,0.290479000340878,0.0880581505924533,0.297339438227473,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=0.9,subsample=0.5,depth=8",1000,0.291357857817442,0.0882624625196818,0.28933073521382,0,0.288527083134315,0.087404825847985,0.290521524300745,0,0.289554167722728,0.0875791020058357,0.290840600244966,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",500,0.263648047332302,0.0805719267495356,0.346181055512956,0,0.264423645473941,0.0808168880279458,0.341833085066313,0,0.264689039778225,0.0808636901758506,0.345624257727935,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",500,0.267253516087767,0.081702088518073,0.342153373913777,0,0.267136543799819,0.0817272331326564,0.342188902091625,0,0.269078274821458,0.0823080077589894,0.342408821680936,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.263569448983679,0.0805942091456836,0.346000240019051,0,0.263828525515374,0.0806381927957308,0.343452131570741,0,0.265723072440658,0.0812955700094446,0.348296730652681,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267123138991024,0.0816957481473627,0.342204425136035,0,0.265001926074085,0.0809977959120852,0.342528388304487,0,0.265941807354609,0.081181947193339,0.342640669228697,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=8",500,0.264113820047667,0.080769995001951,0.344573786319392,0,0.265007318655076,0.0810418093915744,0.340001417961915,0,0.265356783427948,0.0811434798345231,0.343360183451159,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=8",500,0.267142492913722,0.0817447839327901,0.341809600149478,0,0.266933044755737,0.0817239187952752,0.342215468624068,0,0.268753452817861,0.0822361131033443,0.342983107147034,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=8",1000,0.265207638863267,0.0811605207900838,0.341404777349486,0,0.265681277677148,0.0812623020422529,0.339546021223639,0,0.267208002819073,0.081779232598254,0.343252770120427,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=8",1000,0.268413308123049,0.082195845252533,0.338177757038329,0,0.266223886868703,0.0814847478005277,0.338575710116372,0,0.267020432457149,0.0816427978593401,0.338908981653611,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.5,depth=8",500,0.264308838271899,0.0807986150247364,0.344341542734764,0,0.265521614571885,0.0811238911499393,0.338671511340402,0,0.26554571305979,0.0812050784766307,0.343518446764198,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.5,depth=8",500,0.267489216896432,0.0818385181218282,0.341054873787813,0,0.267258122156828,0.081809815472209,0.340741145541783,0,0.269434859210632,0.0825167690536557,0.341524410070775,0,evaluation_test_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.5,depth=8",1000,0.265111371196362,0.0810984052623727,0.341908827710482,0,0.265783709003752,0.0812861970289342,0.339775782565028,0,0.267119560103421,0.0817507819107457,0.34305964699321,0,evaluation_selection_50_percent_split,,,,,
all_plus_LiveInPartner,pmt_train_and_evaluation_samples_seed_1_241016.csv,training_set,catboost,"learning_rate=NA,subsample=0.5,depth=8",1000,0.268469552889328,0.0821795735674293,0.338308772944291,0,0.265838228368688,0.0813820531309261,0.33910161737456,0,0.267051154459583,0.0816190131272535,0.339409340915008,0,evaluation_test_50_percent_split,,,,,
